rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,BAL,TEX,1.1897,PASS,LINEUP PENDING,PASS,50.8,49.2,822862,1,N,2:35 PM ET
2,OAK,BOS,1.1446,NRFI,LEAN,LEAN NRFI,54.5,45.5,824724,1,N,1:35 PM ET
3,COL,STL,1.0891,YRFI,LEAN,LEAN YRFI,42.6,57.4,823020,1,N,2:15 PM ET
4,CIN,WSH,1.0878,YRFI,LEAN,LEAN YRFI,42.6,57.4,822700,1,N,12:15 PM ET
5,LAA,MIA,1.0514,PASS,NO EDGE,PASS,48.3,51.7,823835,1,N,1:40 PM ET
6,LAD,ARI,1.0346,YRFI,STRONG,STRONG YRFI,41.7,58.3,825050,1,N,4:10 PM ET
7,TOR,PHI,1.0330,PASS,NO EDGE,PASS,46.2,53.8,823425,1,N,1:35 PM ET
8,HOU,SD,1.0269,PASS,LINEUP PENDING,PASS,49.7,50.3,823268,1,N,8:20 PM ET
9,ATL,NYY,1.0039,YRFI,LEAN,LEAN YRFI,43.6,56.4,823513,1,N,1:35 PM ET
10,CLE,CWS,0.9809,PASS,LINEUP PENDING,PASS,46.3,53.7,824564,1,N,2:10 PM ET
11,NYM,PIT,0.9793,PASS,LINEUP PENDING,PASS,46.5,53.5,823345,1,N,1:35 PM ET
12,CHC,KC,0.9375,PASS,LINEUP PENDING,PASS,49.5,50.5,824078,1,N,2:10 PM ET
13,MIN,MIL,0.9109,NRFI,LEAN,LEAN NRFI,65.0,35.0,823751,1,N,2:10 PM ET
14,TB,SEA,0.8630,PASS,LINEUP PENDING,PASS,50.9,49.1,823104,1,N,4:10 PM ET
15,DET,SF,0.8024,PASS,LINEUP PENDING,PASS,50.2,49.8,823190,1,N,4:05 PM ET
