rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,LAA,BAL,1.2857,PASS,NO EDGE,PASS,47.9,52.1,824805,1,N,6:35 PM ET
2,TB,COL,1.2653,PASS,LINEUP PENDING,PASS,42.9,57.1,824321,1,N,8:40 PM ET
3,OAK,CIN,1.2265,PASS,NO EDGE,PASS,49.1,50.9,824484,1,N,6:40 PM ET
4,MIA,ATL,1.1527,PASS,NO EDGE,PASS,46.2,53.8,824888,1,N,7:15 PM ET
5,SD,ARI,1.1072,YRFI,STRONG,STRONG YRFI,28.7,71.3,825054,1,N,9:40 PM ET
6,WSH,PHI,1.0751,PASS,LINEUP PENDING,PASS,48.5,51.5,823432,1,N,6:40 PM ET
7,SF,TEX,1.0410,NRFI,LEAN,LEAN NRFI,60.2,39.8,822865,1,N,8:05 PM ET
8,STL,NYY,1.0172,YRFI,LEAN,LEAN YRFI,43.3,56.7,823517,1,N,7:05 PM ET
9,TOR,HOU,1.0098,PASS,NO EDGE,PASS,49.0,51.0,824161,1,N,8:10 PM ET
10,CWS,BOS,0.9939,PASS,NO EDGE,PASS,48.5,51.5,824731,1,N,7:10 PM ET
11,PIT,MIL,0.9612,PASS,LINEUP PENDING,PASS,62.8,37.2,823756,1,N,7:40 PM ET
12,NYM,CLE,0.9557,NRFI,LEAN,LEAN NRFI,50.2,49.8,824403,1,N,6:40 PM ET
13,MIN,KC,0.8896,NRFI,LEAN,LEAN NRFI,52.2,47.8,824084,1,N,7:40 PM ET
14,LAD,CHC,0.8756,PASS,LINEUP PENDING,PASS,50.3,49.7,824645,1,N,8:05 PM ET
15,DET,SEA,0.8688,PASS,LINEUP PENDING,PASS,48.8,51.2,823108,1,N,9:40 PM ET
