rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,LAD,ARI,1.2766,YRFI,STRONG,STRONG YRFI,41.8,58.2,825051,1,N,9:40 PM ET
2,HOU,SD,1.1060,NRFI,LEAN,LEAN NRFI,51.8,48.2,823266,1,N,9:40 PM ET
3,LAA,MIA,1.0774,PASS,NO EDGE,PASS,47.3,52.7,823836,1,N,7:10 PM ET
4,OAK,BOS,1.0907,NRFI,LEAN,LEAN NRFI,52.2,47.8,824727,1,N,7:10 PM ET
5,COL,STL,1.0816,PASS,NO EDGE,PASS,48.3,51.7,823024,1,N,8:15 PM ET
6,MIN,MIL,1.0742,NRFI,LEAN,LEAN NRFI,54.9,45.1,823750,1,N,7:40 PM ET
7,BAL,TEX,1.0247,NRFI,LEAN,LEAN NRFI,54.9,45.1,822863,1,N,8:15 PM ET
8,CIN,WSH,0.9966,YRFI,LEAN,LEAN YRFI,43.4,56.6,822699,1,N,6:45 PM ET
9,ATL,NYY,0.9491,YRFI,LEAN,LEAN YRFI,44.1,55.9,823515,1,N,7:05 PM ET
10,CLE,CWS,0.9273,PASS,NO EDGE,PASS,48.7,51.3,824566,1,N,7:40 PM ET
11,NYM,PIT,0.9106,NRFI,LEAN,LEAN NRFI,50.2,49.8,823349,1,N,6:40 PM ET
12,CHC,KC,0.8861,NRFI,LEAN,LEAN NRFI,53.6,46.4,824081,1,N,8:10 PM ET
13,DET,SF,0.8846,YRFI,LEAN,LEAN YRFI,43.6,56.4,823191,1,N,10:15 PM ET
14,TOR,PHI,0.8833,NRFI,LEAN,LEAN NRFI,51.3,48.7,823428,1,N,6:40 PM ET
15,TB,SEA,0.7411,NRFI,LEAN,LEAN NRFI,54.1,45.9,823103,1,N,9:45 PM ET
