rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,COL,ARI,1.2273,YRFI,STRONG,STRONG YRFI,28.7,71.3,825046,1,N,9:40 PM ET
2,CHC,WSH,1.1761,YRFI,STRONG,STRONG YRFI,37.3,62.7,822697,1,N,6:45 PM ET
3,TEX,LAA,1.1264,YRFI,STRONG,STRONG YRFI,32.4,67.6,823997,1,N,9:38 PM ET
4,HOU,SF,1.0905,PASS,LINEUP PENDING,PASS,48.9,51.1,823186,1,N,9:45 PM ET
5,BAL,MIN,1.0405,PASS,LINEUP PENDING,PASS,48.7,51.3,823673,1,N,7:40 PM ET
6,CLE,DET,0.9940,PASS,LINEUP PENDING,PASS,43.8,56.2,824240,1,N,6:40 PM ET
7,CIN,CWS,0.9830,PASS,LINEUP PENDING,PASS,48.2,51.8,824563,1,N,7:40 PM ET
8,TB,OAK,0.9701,YRFI,STRONG,STRONG YRFI,31.7,68.3,824970,1,N,9:40 PM ET
9,MIL,SD,0.9652,PASS,LINEUP PENDING,PASS,48.8,51.2,823264,1,N,9:40 PM ET
10,NYM,ATL,0.9499,PASS,LINEUP PENDING,PASS,49.6,50.4,824886,1,N,7:15 PM ET
11,KC,LAD,0.9346,PASS,LINEUP PENDING,PASS,45.0,55.0,823917,1,N,10:10 PM ET
12,BOS,TOR,0.9212,PASS,LINEUP PENDING,PASS,53.3,46.7,822778,1,N,7:07 PM ET
13,SEA,NYY,0.8840,PASS,LINEUP PENDING,PASS,43.9,56.1,823512,1,N,7:05 PM ET
14,PIT,MIA,0.8343,PASS,LINEUP PENDING,PASS,49.3,50.7,823832,1,N,6:40 PM ET
15,PHI,STL,0.8158,PASS,LINEUP PENDING,PASS,48.8,51.2,823019,1,N,7:45 PM ET
