rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,CLE,COL,1.3279,PASS,LINEUP PENDING,PASS,36.1,63.9,824315,1,N,3:10 PM ET
2,CIN,ARI,1.1616,PASS,LINEUP PENDING,PASS,48.8,51.2,825043,1,N,4:15 PM ET
3,LAA,TEX,1.1065,PASS,LINEUP PENDING,PASS,54.6,45.4,822856,1,N,2:35 PM ET
4,ATL,MIL,1.0660,PASS,LINEUP PENDING,PASS,55.6,44.4,823745,1,N,7:10 PM ET
5,MIN,SD,1.0624,PASS,LINEUP PENDING,PASS,50.8,49.2,823258,1,N,4:10 PM ET
6,OAK,HOU,1.0394,PASS,LINEUP PENDING,PASS,50.0,50.0,824150,1,N,2:10 PM ET
7,WSH,MIA,1.0345,PASS,LINEUP PENDING,PASS,48.4,51.6,823827,1,N,1:40 PM ET
8,PIT,LAD,1.0052,PASS,LINEUP PENDING,PASS,51.9,48.1,823909,1,N,4:10 PM ET
9,TOR,NYY,0.9968,NRFI,LEAN,LEAN NRFI,52.7,47.3,823507,1,N,1:35 PM ET
10,TB,BAL,0.9897,NRFI,LEAN,LEAN NRFI,51.4,48.6,824799,1,N,1:35 PM ET
11,SF,BOS,0.9570,PASS,LINEUP PENDING,PASS,54.9,45.1,824720,1,N,3:15 PM ET
12,CHC,SEA,0.9540,PASS,LINEUP PENDING,PASS,54.6,45.4,823099,1,N,4:10 PM ET
13,DET,KC,0.9479,NRFI,LEAN,LEAN NRFI,53.5,46.5,824071,1,N,2:10 PM ET
14,NYM,CWS,0.8651,PASS,LINEUP PENDING,PASS,52.7,47.3,824558,1,N,2:10 PM ET
15,STL,PHI,0.8274,NRFI,LEAN,LEAN NRFI,54.4,45.6,823421,1,N,1:35 PM ET
