date,game_pk,v21_pick,v22_pick,v21_prob,v22_prob,actual_outcome,v21_correct,v22_correct
2026-05-11,824199,STRONG NRFI,PASS,0.6395,0.5411,NRFI,WIN,
2026-05-11,822901,STRONG NRFI,PASS,0.6370,0.5274,YRFI,LOSS,
2026-05-12,825011,STRONG YRFI,PASS,0.4256,0.4401,YRFI,WIN,
2026-05-12,823790,STRONG NRFI,PASS,0.6536,0.5411,NRFI,WIN,
2026-05-12,824197,STRONG NRFI,PASS,0.6536,0.5041,NRFI,WIN,
2026-05-12,823385,STRONG NRFI,PASS,0.6370,0.5,YRFI,LOSS,
2026-05-12,824764,STRONG NRFI,PASS,0.6460,0.4401,YRFI,LOSS,
2026-05-12,824843,PASS,STRONG YRFI,0.4589,0.4337,YRFI,,WIN
2026-05-13,823631,STRONG YRFI,PASS,0.3767,0.4726,YRFI,WIN,
2026-05-13,824438,STRONG NRFI,PASS,0.6243,0.5274,YRFI,LOSS,
2026-05-14,825008,PASS,STRONG YRFI,0.4596,0.3082,YRFI,,WIN
2026-05-14,824602,STRONG YRFI,PASS,0.3767,0.4401,YRFI,WIN,
2026-05-15,822739,PASS,STRONG YRFI,0.4570,0.3082,NRFI,,LOSS
2026-05-15,824601,STRONG YRFI,PASS,0.4144,0.4401,YRFI,WIN,
2026-05-15,824439,STRONG NRFI,PASS,0.6338,0.4689,NRFI,WIN,
2026-05-16,824278,PASS,STRONG YRFI,0.4589,0.434,NRFI,,LOSS
2026-05-16,823706,STRONG NRFI,PASS,0.6495,0.4829,NRFI,WIN,
2026-05-16,824038,STRONG YRFI,PASS,0.4144,0.4401,YRFI,WIN,
2026-05-16,823139,STRONG NRFI,PASS,0.5651,0.5333,NRFI,WIN,
2026-05-16,824193,STRONG NRFI,PASS,0.6116,0.512,YRFI,LOSS,
2026-05-16,824600,STRONG YRFI,PASS,0.4144,0.4433,YRFI,WIN,
2026-05-17,822738,PASS,STRONG YRFI,0.4589,0.3082,YRFI,,WIN
2026-05-17,824436,STRONG YRFI,PASS,0.4144,0.4401,YRFI,WIN,
2026-05-17,822982,STRONG NRFI,PASS,0.6370,0.5411,YRFI,LOSS,
2026-05-17,823381,STRONG NRFI,PASS,0.6370,0.5224,NRFI,WIN,
2026-05-17,823628,STRONG YRFI,PASS,0.4144,0.4401,NRFI,LOSS,
2026-05-17,824192,STRONG NRFI,PASS,0.6373,0.5274,NRFI,WIN,
2026-05-17,824034,STRONG YRFI,PASS,0.4144,0.4401,NRFI,LOSS,
2026-05-18,824357,STRONG YRFI,PASS,0.4152,0.4726,YRFI,WIN,
2026-05-18,823465,STRONG YRFI,PASS,0.4040,0.4418,YRFI,WIN,
2026-05-18,823137,STRONG NRFI,PASS,0.6387,0.5,YRFI,LOSS,
2026-05-18,823867,STRONG YRFI,PASS,0.4144,0.5,NRFI,LOSS,
2026-05-18,823705,STRONG NRFI,PASS,0.6444,0.5156,NRFI,WIN,
2026-05-18,825087,STRONG NRFI,PASS,0.6370,0.5346,YRFI,LOSS,
